id,entityid,companyname,displayName,isinactive,subsidiary,subsidiaryId
-3,-Accountant-,,-Accountant-,false,Patra Group,1
317,A. Resource,A.Resource,A.Resource,false,Patra Group : Opuzen,2
318,AAA Automobile Club,AAA Automobile Club,AAA Automobile Club,false,Patra Group : Opuzen,2
319,Adobe,Adobe,Adobe,false,Patra Group : Opuzen,2
3849,Advantage Fabric,Advantage Fabric,Advantage Fabric,false,Patra Group : Opuzen,2
4304,Albatros,Albatros,Albatros,false,Patra Group : Opuzen,2
320,Alendel,Alendel,Alendel,false,Patra Group : Opuzen,2
3827,Algemene,Algemene,Algemene,false,Patra Group : Opuzen,2
322,Aliseo Velluti,Aliseo Velluti,Aliseo Velluti,false,Patra Group : Opuzen,2
323,"Allan Knight & Associates, Inc","Allan Knight & Associates, Inc","Allan Knight & Associates, Inc",false,Patra Group : Opuzen,2
536,Alois Tessitura,Alois Tessitura,Alois Tessitura,false,Patra Group : Opuzen,2
4305,Alois Tessitura Serica,Alois Tessitura Serica,Alois Tessitura Serica,false,Patra Group : Opuzen,2
3826,Altizer & Co,Altizer & Co,Altizer & Co,false,Patra Group : Opuzen,2
324,"AM Design Collaboration, LLC","AM Design Collaboration, LLC","AM Design Collaboration, LLC",false,Patra Group : Opuzen,2
325,"AMAB Group, LLC","AMAB Group, LLC","AMAB Group, LLC",false,Patra Group : Opuzen,2
326,Amazon Web Services,Amazon Web Services,Amazon Web Services,false,Patra Group : Opuzen,2
327,Amazon.com,Amazon.com,Amazon.com,false,Patra Group : Opuzen,2
328,"Amber Hervey Studio, Inc","Amber Hervey Studio, Inc","Amber Hervey Studio, Inc",false,Patra Group : Opuzen,2
3851,Ambience Textiles,Ambience Textiles,Ambience Textiles,false,Patra Group : Opuzen,2
535,American Blackout Company,American Blackout Company,American Blackout Company,false,Patra Group : Opuzen,2
329,"American Flame Coat, Inc","American Flame Coat, Inc","American Flame Coat, Inc",false,Patra Group : Opuzen,2
537,American Silk Mills,American Silk Mills,American Silk Mills,false,Patra Group : Opuzen,2
330,AMEX Baggage Insurance,AMEX Baggage Insurance,AMEX Baggage Insurance,false,Patra Group : Opuzen,2
331,AMEX Gold - 5-33000,AMEX Gold - 5-33000,AMEX Gold - 5-33000,false,Patra Group : Opuzen,2
538,Ammon Hickson Commission,Ammon Hickson.Commission,Ammon Hickson.Commission,false,Patra Group : Opuzen,2
4306,Andante Algemene,Andante Algemene,Andante Algemene,false,Patra Group : Opuzen,2
332,Angi's Fashion,Angi's Fashion,Angi's Fashion,false,Patra Group : Opuzen,2
3824,Annabel Textiles,Annabel Textiles,Annabel Textiles,false,Patra Group : Opuzen,2
590,Anne Kirk Textiles,Anne Kirk Textiles,Anne Kirk Textiles,false,Patra Group : Opuzen,2
333,"Anthony, Inc","Anthony, Inc","Anthony, Inc",false,Patra Group : Opuzen,2
334,"Applied Textiles, Inc","Applied Textiles, Inc","Applied Textiles, Inc",false,Patra Group : Opuzen,2
335,"Ariba, Inc","Ariba, Inc","Ariba, Inc",false,Patra Group : Opuzen,2
336,ASB Graphics,ASB Graphics,ASB Graphics,false,Patra Group : Opuzen,2
337,"Aston Carter, Inc","Aston Carter, Inc","Aston Carter, Inc",false,Patra Group : Opuzen,2
340,AT&T - Office 2022,AT&T - Office 2022,AT&T - Office 2022,false,Patra Group : Opuzen,2
338,AT&T - Warehouse,AT&T - Warehouse,AT&T - Warehouse,false,Patra Group : Opuzen,2
339,AT&T Mobility Cell Phone,AT&T Mobility Cell Phone,AT&T Mobility Cell Phone,false,Patra Group : Opuzen,2
360,Atelier,Atelier,Atelier,false,Patra Group : Opuzen,2
539,B&T Textilia,B&T Textilia,B&T Textilia,false,Patra Group : Opuzen,2
4307,Babai,Babai,Babai,false,Patra Group : Opuzen,2
341,Baman Studio,Baman Studio,Baman Studio,false,Patra Group : Opuzen,2
342,Bartlett Tree Experts,Bartlett Tree Experts,Bartlett Tree Experts,false,Patra Group : Opuzen,2
540,Bartson,Bartson,Bartson,false,Patra Group : Opuzen,2
343,BDNY,BD NY,BD NY,false,Patra Group : Opuzen,2
3822,Beijing Shengyiran Weaving,Beijing Shengyiran Weaving,Beijing Shengyiran Weaving,false,Patra Group : Opuzen,2
3932,Bella-Dura,Bella-Dura,Bella-Dura,false,Patra Group : Opuzen,2
541,Belo Fluweelweefsels,Belo Fluweelweefsels,Belo Fluweelweefsels,false,Patra Group : Opuzen,2
344,Bench Craft Company,Bench Craft Company,Bench Craft Company,false,Patra Group : Opuzen,2
345,Blaze,Blaze,Blaze,false,Patra Group : Opuzen,2
3829,Blu Textiles Design,Blu Textiles Design,Blu Textiles Design,false,Patra Group : Opuzen,2
346,Blue Kompany,Blue Kompany,Blue Kompany,false,Patra Group : Opuzen,2
347,Boltaflex,Boltaflex,Boltaflex,false,Patra Group : Opuzen,2
348,Box City,Box City,Box City,false,Patra Group : Opuzen,2
3842,Bravo Fabrics,Bravo Fabrics,Bravo Fabrics,false,Patra Group : Opuzen,2
542,Brentwood Textiles / STI,Brentwood Textiles / STI,Brentwood Textiles / STI,false,Patra Group : Opuzen,2
349,Bruvatex,Bruvatex,Bruvatex,false,Patra Group : Opuzen,2
350,California State Fire Protection,California State Fire Protection,California State Fire Protection,false,Patra Group : Opuzen,2
351,California Supply,California Supply,California Supply,false,Patra Group : Opuzen,2
4085,Capax Resource Management UK LLP,Capax Resource Management UK LLP,Capax Resource Management UK LLP,false,Patra Group : Opuzen,2
3853,Caravelle,Caravelle,Caravelle,false,Patra Group : Opuzen,2
543,Cargo Express Freight,Cargo Express Freight,Cargo Express Freight,false,Patra Group : Opuzen,2
4308,Charles Martel,Charles Martel,Charles Martel,false,Patra Group : Opuzen,2
4309,Chris Stone,Chris Stone,Chris Stone,false,Patra Group : Opuzen,2
352,City National Bank,City National Bank,City National Bank,false,Patra Group : Opuzen,2
353,City of Inglewood Finance Dep,City of Inglewood Finance Dep,City of Inglewood Finance Dep,false,Patra Group : Opuzen,2
354,City of Los Angels - Office of Finance,City of Los Angels - Office of Finance,City of Los Angels - Office of Finance,false,Patra Group : Opuzen,2
544,City of Santa Monica,City of Santa Monica,City of Santa Monica,false,Patra Group : Opuzen,2
117,Claudia Mateo,,Claudia Mateo,false,Patra Group : Opuzen,2
355,CMI - Mayer Fabrics,CMI - Mayer Fabrics,CMI - Mayer Fabrics,false,Patra Group : Opuzen,2
356,CodeGuard.com,CodeGuard.com,CodeGuard.com,false,Patra Group : Opuzen,2
357,Colonial Surety Company,Colonial Surety Company,Colonial Surety Company,false,Patra Group : Opuzen,2
358,Commercial Testing Company,Commercial Testing Company,Commercial Testing Company,false,Patra Group : Opuzen,2
359,Converge - Credit Card,Converge - Credit Card,Converge - Credit Card,false,Patra Group : Opuzen,2
361,Cortex,Cortex,Cortex,false,Patra Group : Opuzen,2
362,Cositex,Cositex,Cositex,false,Patra Group : Opuzen,2
363,Costco,Costco,Costco,false,Patra Group : Opuzen,2
364,Covington,Covington,Covington,false,Patra Group : Opuzen,2
4310,Craftex Mills,Craftex Mills,Craftex Mills,false,Patra Group : Opuzen,2
365,Crashplan,Crashplan,Crashplan,false,Patra Group : Opuzen,2
366,"Creative Benefit Strategies, Inc","Creative Benefit Strategies, Inc","Creative Benefit Strategies, Inc",false,Patra Group : Opuzen,2
545,Crestmont Fabrics,Crestmont Fabrics,Crestmont Fabrics,false,Patra Group : Opuzen,2
368,Crypton Global,Crypton Global,Crypton Global,false,Patra Group : Opuzen,2
