opms_vendor_id,opms_vendor_name,active,archived,netsuite_vendor_id,netsuite_vendor_name,status,,,
92,Crestmont Fabrics,Y,N,545,Crestmont Fabrics,✅ Already matches,,,
270,Libas Limited,Y,N,3844,Libas Limited,✅ Already matches,,,
141,Edgar Fabrics,Y,N,4312,Edgar Fabrics,✅ Already matches,,,
8,Morgan / MJD,Y,N,455,Morgan / MJD,✅ Already matches,,,
9,Haezebrouk,Y,N,3836,Haezebrouk,✅ Already matches,,,
11,Exotic Silks,Y,N,4313,Exotic Silks,✅ Already matches,,,
12,American Silk Mills,Y,N,537,American Silk Mills,✅ Already matches,,,
13,Hemp Traders,Y,N,3838,Hemp Traders,✅ Already matches,,,
267,Blu Textiles Design,Y,N,3829,Blu Textiles Design,✅ Already matches,,,
261,Lisa Slayman Design,Y,N,441,Lisa Slayman Design,✅ Already matches,,,
17,Romain Maes,Y,N,3837,Romain Maes,✅ Already matches,,,
260,Threadology,Y,N,515,Threadology,✅ Already matches,,,
259,Weavers Mill,Y,N,3835,Weavers Mill,✅ Already matches,,,
20,Los Angeles Mills,Y,N,560,Los Angeles Mills,✅ Already matches,,,
257,Master Fabrics,Y,N,447,Master Fabrics,✅ Already matches,,,
22,Fabricut,Y,N,552,Fabricut,✅ Already matches,,,
23,Texao,Y,N,509,Texao,✅ Already matches,,,
256,Liba Fabrics,Y,N,439,Liba Fabrics,✅ Already matches,,,
25,Andante Algemene,Y,N,4306,Andante Algemene,✅ Already matches,,,
27,Dilhan,Y,N,591,Dilhan,✅ Already matches,,,
28,Tavelmo,Y,N,581,Tavelmo,✅ Already matches,,,
29,O. J. Van Maele,Y,N,571,O. J. Van Maele,✅ Already matches,,,
30,Wearbest,Y,N,532,Wearbest,✅ Already matches,,,
255,MTL GLOBAL VENTURES,Y,N,456,MTL Global Ventures,✅ Already matches,,,
33,Enzo Degli Angiuoni,Y,N,551,Enzo Degli Angiuoni,✅ Already matches,,,
34,World of Linen,Y,N,4340,World of Linen,✅ Already matches,,,
35,Para,Y,N,467,Para,✅ Already matches,,,
36,Link 7 GMBH,Y,N,440,Link 7 GMBH,✅ Already matches,,,
37,Libeco Lagae,Y,N,3846,Libeco Lagae,✅ Already matches,,,
38,Swisstulle,Y,N,3825,Swisstulle,✅ Already matches,,,
39,Bravo Fabrics,Y,N,3842,Bravo Fabrics,✅ Already matches,,,
40,Elite Textile,Y,N,386,Elite Textile,✅ Already matches,,,
41,Deltracon,Y,N,374,Deltracon,✅ Already matches,,,
42,Facotex,Y,N,4316,Facotex,✅ Already matches,,,
43,Stratum,Y,N,4332,Stratum,✅ Already matches,,,
44,Libas,Y,N,4322,Libas,✅ Already matches,,,
45,Fabrics N More,Y,N,4315,Fabrics N More,✅ Already matches,,,
46,Craftex Mills,Y,N,4310,Craftex Mills,✅ Already matches,,,
47,Molteni,Y,N,3840,Molteni,✅ Already matches,,,
252,Crypton Home ,Y,N,367,Crypton Home,✅ Already matches,,,
49,F & S,Y,N,4314,F & S,✅ Already matches,,,
50,High Five Textiles,Y,N,4320,High Five Textiles,✅ Already matches,,,
52,Pongs,Y,N,4329,Pongs,✅ Already matches,,,
54,Valdese Weavers,Y,N,528,Valdese Weavers,✅ Already matches,,,
56,JB Martin,Y,N,426,JB Martin,✅ Already matches,,,
59,Devantex,Y,N,548,Devantex,✅ Already matches,,,
60,Altizer & Co,Y,N,3826,Altizer & Co,✅ Already matches,,,
250,Alendel,Y,N,320,Alendel,✅ Already matches,,,
62,Pointe International,Y,N,574,Pointe International,✅ Already matches,,,
63,Limonta,Y,N,561,Limonta,✅ Already matches,,,
64,De Leo Textiles,Y,N,370,De Leo Textiles,✅ Already matches,,,
65,Gebruder Munzert,Y,N,592,Gebruder Munzert,✅ Already matches,,,
66,Universal Textile Mills,Y,N,3820,Universal Textile Mills,✅ Already matches,,,
67,Bruvatex,Y,N,349,Bruvatex,✅ Already matches,,,
68,Brentwood Textiles / STI ,Y,N,542,Brentwood Textiles / STI,✅ Already matches,,,
69,G-Tex,Y,N,401,G-Tex,✅ Already matches,,,
249,American Blackout Company ,Y,N,535,American Blackout Company,✅ Already matches,,,
71,Dorell,Y,N,379,Dorell,✅ Already matches,,,
72,D'Etoffe,Y,N,546,D'Etoffe,✅ Already matches,,,
73,Tendaggi Paradiso,Y,N,584,Tendaggi Paradiso,✅ Already matches,,,
74,Eastern Accents,Y,N,383,Eastern Accents,✅ Already matches,,,
75,Palette,Y,N,4328,Palette,✅ Already matches,,,
76,Bartson,Y,N,540,Bartson,✅ Already matches,,,
77,Regal,Y,N,576,Regal,✅ Already matches,,,
78,Fiorete,Y,N,396,Fiorete,✅ Already matches,,,
79,Aliseo Velluti,Y,N,322,Aliseo Velluti,✅ Already matches,,,
80,Glen Raven,Y,N,407,Glen Raven,✅ Already matches,,,
81,Silk Crafts,Y,N,579,Silk Crafts,✅ Already matches,,,
82,Heritage Fabrics,Y,N,556,Heritage Fabrics,✅ Already matches,,,
239,Laura & Kiran,Y,N,437,Laura & Kiran,✅ Already matches,,,
84,Vigano Tessuti E Velluti,Y,N,588,Vigano Tessuti E Velluti,✅ Already matches,,,
85,Ramtex Inc.,Y,N,575,Ramtex Inc.,✅ Already matches,,,
87,Annabel Textiles,Y,N,3824,Annabel Textiles,✅ Already matches,,,
88,Alois Tessitura,Y,N,536,Alois Tessitura,✅ Already matches,,,
89,P. Kaufmann,Y,N,465,P. Kaufmann,✅ Already matches,,,
90,Vision Fabrics,Y,N,589,Vision Fabrics,✅ Already matches,,,
91,Marcovaldo,Y,N,3843,Marcovaldo,✅ Already matches,,,
176,Vescom Textiles B.V,Y,N,4337,Vescom Textiles B.V,✅ Already matches,,,
238,Illerom Trading,Y,N,420,Illerom Trading,✅ Already matches,,,
94,Verbatex,Y,N,3832,Verbatex,✅ Already matches,,,
95,Tissage de Kalken,Y,N,4335,Tissage de Kalken,✅ Already matches,,,
96,TaBru,Y,N,504,TaBru,✅ Already matches,,,
97,Bella-Dura,Y,N,3932,Bella-Dura,✅ Already matches,,,
98,Fidertessile SPA,Y,N,3830,Fidertessile SPA,✅ Already matches,,,
99,Softline Home Fashion,Y,N,3847,Softline Home Fashion,✅ Already matches,,,
100,Gio Emi Srl,Y,N,4318,Gio Emi Srl,✅ Already matches,,,
233,Opuzen,Y,N,4339,Opuzen,✅ Already matches,,,
224,Europatex,Y,N,389,Europatex,✅ Already matches,,,
